SampleName,CntFile,BarCode,Pair,Condition,Sex
70,data/placenta.T3.pA/SLX-FGmRNA2014.D711_D504.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D711_D504,P10,0,F
69,data/placenta.T3.pA/SLX-FGmRNA2014.D711_D503.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D711_D503,P10,1,F
72,data/placenta.T3.pA/SLX-FGmRNA2014.D711_D506.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D711_D506,P11,0,F
71,data/placenta.T3.pA/SLX-FGmRNA2014.D711_D505.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D711_D505,P11,1,F
76,data/placenta.T3.pA/SLX-FGmRNA2014.D711_D508.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D711_D508,P13,0,M
75,data/placenta.T3.pA/SLX-FGmRNA2014.D711_D507.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D711_D507,P13,1,F
78,data/placenta.T3.pA/SLX-FGmRNA2014.D712_D502.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D712_D502,P14,0,F
77,data/placenta.T3.pA/SLX-FGmRNA2014.D712_D501.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D712_D501,P14,1,F
22,data/placenta.T3.pA/SLX-FGmRNA2014.D709_D504.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D709_D504,P16,0,F
21,data/placenta.T3.pA/SLX-FGmRNA2014.D709_D503.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D709_D503,P16,1,F
80,data/placenta.T3.pA/SLX-FGmRNA2014.D701_D504.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D701_D504,P18,0,F
79,data/placenta.T3.pA/SLX-FGmRNA2014.D701_D503.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D701_D503,P18,1,F
82,data/placenta.T3.pA/SLX-FGmRNA2014.D701_D506.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D701_D506,P19,0,M
81,data/placenta.T3.pA/SLX-FGmRNA2014.D701_D505.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D701_D505,P19,1,M
56,data/placenta.T3.pA/SLX-FGmRNA2014.D701_D502.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D701_D502,P2,0,F
55,data/placenta.T3.pA/SLX-FGmRNA2014.D701_D501.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D701_D501,P2,1,M
26,data/placenta.T3.pA/SLX-FGmRNA2014.D709_D506.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D709_D506,P20,0,F
25,data/placenta.T3.pA/SLX-FGmRNA2014.D709_D505.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D709_D505,P20,1,F
84,data/placenta.T3.pA/SLX-FGmRNA2014.D712_D504.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D712_D504,P21,0,F
83,data/placenta.T3.pA/SLX-FGmRNA2014.D712_D503.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D712_D503,P21,1,F
86,data/placenta.T3.pA/SLX-FGmRNA2014.D701_D508.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D701_D508,P22,0,M
85,data/placenta.T3.pA/SLX-FGmRNA2014.D701_D507.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D701_D507,P22,1,M
88,data/placenta.T3.pA/SLX-FGmRNA2014.D702_D502.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D702_D502,P23,0,F
87,data/placenta.T3.pA/SLX-FGmRNA2014.D702_D501.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D702_D501,P23,1,F
90,data/placenta.T3.pA/SLX-FGmRNA2014.D702_D504.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D702_D504,P24,0,M
33,data/placenta.T3.pA/SLX-FGmRNA2014.D702_D503.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D702_D503,P24,1,M
94,data/placenta.T3.pA/SLX-FGmRNA2014.D702_D508.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D702_D508,P26,0,F
93,data/placenta.T3.pA/SLX-FGmRNA2014.D702_D507.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D702_D507,P26,1,F
96,data/placenta.T3.pA/SLX-FGmRNA2014.D703_D502.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D703_D502,P28,0,F
95,data/placenta.T3.pA/SLX-FGmRNA2014.D703_D501.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D703_D501,P28,1,F
98,data/placenta.T3.pA/SLX-FGmRNA2014.D703_D504.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D703_D504,P29,0,M
97,data/placenta.T3.pA/SLX-FGmRNA2014.D703_D503.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D703_D503,P29,1,M
58,data/placenta.T3.pA/SLX-FGmRNA2014.D710_D504.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D710_D504,P3,0,M
57,data/placenta.T3.pA/SLX-FGmRNA2014.D710_D503.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D710_D503,P3,1,F
100,data/placenta.T3.pA/SLX-FGmRNA2014.D703_D506.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D703_D506,P31,0,M
99,data/placenta.T3.pA/SLX-FGmRNA2014.D703_D505.featureCount.GRCh38.88.collapsed.from.gencode.v26.clean.txt.gz,D703_D505,P31,1,M
