Library,BarCode,Category,Read
SLX-9168,D701_D501,Mapped,88178350
SLX-9168,D701_D502,Mapped,88924670
SLX-9168,D701_D503,Mapped,79718038
SLX-9168,D701_D504,Mapped,67772608
SLX-9168,D701_D505,Mapped,69356692
SLX-9168,D701_D506,Mapped,75480832
SLX-9168,D701_D507,Mapped,89905975
SLX-9168,D701_D508,Mapped,90612537
SLX-9168,D702_D501,Mapped,75936054
SLX-9168,D702_D502,Mapped,84816027
SLX-9168,D702_D503,Mapped,77809202
SLX-9168,D702_D504,Mapped,73121566
SLX-9168,D702_D505,Mapped,72514886
SLX-9168,D702_D506,Mapped,84784787
SLX-9168,D702_D507,Mapped,72294596
SLX-9168,D702_D508,Mapped,76786516
SLX-9168,D707_D501,Mapped,67636439
SLX-9168,D707_D502,Mapped,57735453
SLX-9168,D707_D503,Mapped,53716395
SLX-9168,D707_D504,Mapped,53224653
SLX-9168,D707_D505,Mapped,66684761
SLX-9168,D707_D506,Mapped,68665937
SLX-9168,D707_D507,Mapped,57096206
SLX-9168,D707_D508,Mapped,64262815
SLX-9168,D708_D501,Mapped,69747496
SLX-9168,D708_D502,Mapped,68944309
SLX-9168,D708_D503,Mapped,64490596
SLX-9168,D708_D504,Mapped,51135826
SLX-9168,D708_D505,Mapped,64976909
SLX-9168,D708_D506,Mapped,60694332
SLX-9168,D708_D507,Mapped,68448236
SLX-9168,D708_D508,Mapped,54230909
SLX-9168,D709_D501,Mapped,38926737
SLX-9168,D709_D502,Mapped,66518433
SLX-9168,D709_D503,Mapped,60910065
SLX-9168,D709_D504,Mapped,104114727
SLX-9168,D709_D505,Mapped,69746705
SLX-9168,D709_D506,Mapped,64367054
SLX-9168,D709_D507,Mapped,67648500
SLX-9168,D709_D508,Mapped,60097354
SLX-9168,D710_D501,Mapped,76658874
SLX-9168,D710_D502,Mapped,75960770
SLX-9168,D710_D503,Mapped,64494164
SLX-9168,D710_D504,Mapped,63876233
SLX-9168,D710_D505,Mapped,69908581
SLX-9168,D710_D506,Mapped,64632381
SLX-9168,D710_D507,Mapped,73000526
SLX-9168,D710_D508,Mapped,74776342
SLX-9168,D711_D501,Mapped,77249033
SLX-9168,D711_D502,Mapped,77020380
SLX-9168,D711_D503,Mapped,57229996
SLX-9168,D711_D504,Mapped,46999774
SLX-9168,D711_D505,Mapped,56515357
SLX-9168,D711_D506,Mapped,56530313
SLX-9168,D711_D507,Mapped,61325160
SLX-9168,D711_D508,Mapped,64602123
SLX-9168,D701_D501,Rescued,32036184
SLX-9168,D701_D502,Rescued,23998694
SLX-9168,D701_D503,Rescued,24048032
SLX-9168,D701_D504,Rescued,25302707
SLX-9168,D701_D505,Rescued,39679161
SLX-9168,D701_D506,Rescued,27831818
SLX-9168,D701_D507,Rescued,23101201
SLX-9168,D701_D508,Rescued,27836055
SLX-9168,D702_D501,Rescued,45749999
SLX-9168,D702_D502,Rescued,24991877
SLX-9168,D702_D503,Rescued,29547762
SLX-9168,D702_D504,Rescued,22687594
SLX-9168,D702_D505,Rescued,32269268
SLX-9168,D702_D506,Rescued,17069962
SLX-9168,D702_D507,Rescued,29762559
SLX-9168,D702_D508,Rescued,32384883
SLX-9168,D707_D501,Rescued,22581026
SLX-9168,D707_D502,Rescued,31535282
SLX-9168,D707_D503,Rescued,17356682
SLX-9168,D707_D504,Rescued,17835295
SLX-9168,D707_D505,Rescued,16806231
SLX-9168,D707_D506,Rescued,18405410
SLX-9168,D707_D507,Rescued,33897291
SLX-9168,D707_D508,Rescued,24191704
SLX-9168,D708_D501,Rescued,25162215
SLX-9168,D708_D502,Rescued,20401995
SLX-9168,D708_D503,Rescued,24554881
SLX-9168,D708_D504,Rescued,24114114
SLX-9168,D708_D505,Rescued,19549896
SLX-9168,D708_D506,Rescued,24868182
SLX-9168,D708_D507,Rescued,19138869
SLX-9168,D708_D508,Rescued,19775450
SLX-9168,D709_D501,Rescued,56602750
SLX-9168,D709_D502,Rescued,24908448
SLX-9168,D709_D503,Rescued,14312682
SLX-9168,D709_D504,Rescued,24714694
SLX-9168,D709_D505,Rescued,16582808
SLX-9168,D709_D506,Rescued,18595355
SLX-9168,D709_D507,Rescued,20175003
SLX-9168,D709_D508,Rescued,20659639
SLX-9168,D710_D501,Rescued,22971815
SLX-9168,D710_D502,Rescued,22446397
SLX-9168,D710_D503,Rescued,26652432
SLX-9168,D710_D504,Rescued,23542809
SLX-9168,D710_D505,Rescued,21504112
SLX-9168,D710_D506,Rescued,17202310
SLX-9168,D710_D507,Rescued,26081071
SLX-9168,D710_D508,Rescued,22539146
SLX-9168,D711_D501,Rescued,21516125
SLX-9168,D711_D502,Rescued,18994040
SLX-9168,D711_D503,Rescued,25381569
SLX-9168,D711_D504,Rescued,19120710
SLX-9168,D711_D505,Rescued,17365964
SLX-9168,D711_D506,Rescued,28025648
SLX-9168,D711_D507,Rescued,23709776
SLX-9168,D711_D508,Rescued,23779518
SLX-9168,D701_D501,Unmapped,6700077
SLX-9168,D701_D502,Unmapped,5802675
SLX-9168,D701_D503,Unmapped,6037372
SLX-9168,D701_D504,Unmapped,6352082
SLX-9168,D701_D505,Unmapped,5671477
SLX-9168,D701_D506,Unmapped,5102520
SLX-9168,D701_D507,Unmapped,5726436
SLX-9168,D701_D508,Unmapped,6122904
SLX-9168,D702_D501,Unmapped,7144714
SLX-9168,D702_D502,Unmapped,5866785
SLX-9168,D702_D503,Unmapped,6458403
SLX-9168,D702_D504,Unmapped,5803965
SLX-9168,D702_D505,Unmapped,6137108
SLX-9168,D702_D506,Unmapped,5476064
SLX-9168,D702_D507,Unmapped,5895651
SLX-9168,D702_D508,Unmapped,6137615
SLX-9168,D707_D501,Unmapped,4960791
SLX-9168,D707_D502,Unmapped,5314371
SLX-9168,D707_D503,Unmapped,3901158
SLX-9168,D707_D504,Unmapped,4133057
SLX-9168,D707_D505,Unmapped,4705717
SLX-9168,D707_D506,Unmapped,4492984
SLX-9168,D707_D507,Unmapped,5536973
SLX-9168,D707_D508,Unmapped,5346451
SLX-9168,D708_D501,Unmapped,5715396
SLX-9168,D708_D502,Unmapped,4942511
SLX-9168,D708_D503,Unmapped,5490622
SLX-9168,D708_D504,Unmapped,4202144
SLX-9168,D708_D505,Unmapped,5042532
SLX-9168,D708_D506,Unmapped,4899302
SLX-9168,D708_D507,Unmapped,4616924
SLX-9168,D708_D508,Unmapped,3965290
SLX-9168,D709_D501,Unmapped,4524760
SLX-9168,D709_D502,Unmapped,4940887
SLX-9168,D709_D503,Unmapped,4143760
SLX-9168,D709_D504,Unmapped,6411303
SLX-9168,D709_D505,Unmapped,4546121
SLX-9168,D709_D506,Unmapped,4200630
SLX-9168,D709_D507,Unmapped,4552644
SLX-9168,D709_D508,Unmapped,3897658
SLX-9168,D710_D501,Unmapped,5171143
SLX-9168,D710_D502,Unmapped,5192598
SLX-9168,D710_D503,Unmapped,5295574
SLX-9168,D710_D504,Unmapped,4962677
SLX-9168,D710_D505,Unmapped,5326519
SLX-9168,D710_D506,Unmapped,4393025
SLX-9168,D710_D507,Unmapped,5362580
SLX-9168,D710_D508,Unmapped,5119607
SLX-9168,D711_D501,Unmapped,5633733
SLX-9168,D711_D502,Unmapped,5826659
SLX-9168,D711_D503,Unmapped,5144275
SLX-9168,D711_D504,Unmapped,3860399
SLX-9168,D711_D505,Unmapped,4497694
SLX-9168,D711_D506,Unmapped,4922295
SLX-9168,D711_D507,Unmapped,4784280
SLX-9168,D711_D508,Unmapped,4704632
SLX-9169,D704_D501,Mapped,68864578
SLX-9169,D704_D502,Mapped,65634897
SLX-9169,D704_D503,Mapped,70259962
SLX-9169,D704_D504,Mapped,84602321
SLX-9169,D704_D505,Mapped,68725184
SLX-9169,D704_D506,Mapped,69736832
SLX-9169,D704_D507,Mapped,68923006
SLX-9169,D704_D508,Mapped,70847904
SLX-9169,D705_D501,Mapped,78328554
SLX-9169,D705_D502,Mapped,76295522
SLX-9169,D705_D503,Mapped,66975047
SLX-9169,D705_D504,Mapped,72312946
SLX-9169,D705_D505,Mapped,77550980
SLX-9169,D705_D506,Mapped,72691744
SLX-9169,D705_D507,Mapped,81072910
SLX-9169,D705_D508,Mapped,75897653
SLX-9169,D706_D501,Mapped,87723937
SLX-9169,D706_D502,Mapped,77150313
SLX-9169,D706_D503,Mapped,70949609
SLX-9169,D706_D504,Mapped,74167585
SLX-9169,D706_D505,Mapped,83279129
SLX-9169,D706_D506,Mapped,77774612
SLX-9169,D706_D507,Mapped,75922005
SLX-9169,D706_D508,Mapped,79149375
SLX-9169,D708_D501,Mapped,74345405
SLX-9169,D708_D502,Mapped,67607184
SLX-9169,D709_D501,Mapped,66900142
SLX-9169,D709_D502,Mapped,67314876
SLX-9169,D709_D503,Mapped,66770238
SLX-9169,D709_D504,Mapped,59952352
SLX-9169,D709_D505,Mapped,54819411
SLX-9169,D709_D506,Mapped,58279702
SLX-9169,D709_D507,Mapped,69465781
SLX-9169,D709_D508,Mapped,53328475
SLX-9169,D710_D501,Mapped,74223767
SLX-9169,D710_D502,Mapped,59046203
SLX-9169,D710_D503,Mapped,59066795
SLX-9169,D710_D504,Mapped,52265102
SLX-9169,D710_D505,Mapped,56839053
SLX-9169,D710_D506,Mapped,51885569
SLX-9169,D710_D507,Mapped,51115137
SLX-9169,D710_D508,Mapped,56949127
SLX-9169,D711_D501,Mapped,62635147
SLX-9169,D711_D502,Mapped,56066348
SLX-9169,D711_D503,Mapped,47415279
SLX-9169,D711_D504,Mapped,48730201
SLX-9169,D711_D505,Mapped,59516166
SLX-9169,D711_D506,Mapped,61544795
SLX-9169,D711_D507,Mapped,60823998
SLX-9169,D711_D508,Mapped,56197260
SLX-9169,D712_D501,Mapped,75184145
SLX-9169,D712_D502,Mapped,63467808
SLX-9169,D712_D503,Mapped,81136203
SLX-9169,D712_D504,Mapped,62895961
SLX-9169,D712_D505,Mapped,76558027
SLX-9169,D712_D506,Mapped,67716581
SLX-9169,D712_D507,Mapped,63432396
SLX-9169,D712_D508,Mapped,59439795
SLX-9169,D704_D501,Rescued,24589728
SLX-9169,D704_D502,Rescued,30750057
SLX-9169,D704_D503,Rescued,21196243
SLX-9169,D704_D504,Rescued,23329670
SLX-9169,D704_D505,Rescued,26136955
SLX-9169,D704_D506,Rescued,23684625
SLX-9169,D704_D507,Rescued,24628334
SLX-9169,D704_D508,Rescued,21997353
SLX-9169,D705_D501,Rescued,21290001
SLX-9169,D705_D502,Rescued,17255161
SLX-9169,D705_D503,Rescued,20014013
SLX-9169,D705_D504,Rescued,19142813
SLX-9169,D705_D505,Rescued,15988323
SLX-9169,D705_D506,Rescued,26051952
SLX-9169,D705_D507,Rescued,15732988
SLX-9169,D705_D508,Rescued,14726099
