"","TCONS_00323031","TCONS_00329506","TCONS_00330483","TCONS_00329507","TCONS_00330192","TCONS_00330356","TCONS_00339257","TCONS_00334938","TCONS_00336968","TCONS_00340588","TCONS_00340698","TCONS_00340767"
"455073",6.347594,0,0,0,0,0,0,0,0,0,0,0
"502702",3.810199,0,0,0,0,0,0,0,0,0,0,0
"549718",0.906806,0,0,0,0,0,0,0,0,0,0,0
"588740",4.161201,0,0,0,0,0,0,0,0,0,0,0
"593817",0.269695,0,0,0,0,0,0,0,0,0,0,0
"606763",2.322442,3.826464,0,0,0,0,0,0,0,0,0,0
"618015",1.327968,0,0,2.872797,0,0,0,0,0,0,0,0
"649180",7.706881,0,0,0,0,0,0,0,0,0,0,0
"651384",46.024391,0,0,0,0,0,0,0,0,0,0,0
"656472",2.766628,0,3.574105,0,1.554491,2.022789,0,0,0,0,0,0
"678346",0.523806,0,0,0,0,0,0,0,0,0,0,0
"696492",13.865769,0,0,0,0,0,0,0,0,0,0,0
"716947",0,0,0,0,1.181967,0,0,0,0,0,0,0
"719816",6.566804,0,0,0,0,0,0,0,0,0,0,0
"739747",18.610592,2.80136,0,0,0,0,0,0,0,0,0,0
"761478",0.97257,1.883383,0,0,0,0,0,0,0,0,0,0
"769647",7.998642,0,0,0,0,0,0,0,0,0,0,0
"770163",13.806959,0,0,0,0,0,0,0,0,0,0,0
"787904",5.698178,0,0,0,0,0,0,0,0,0,0,0
"788643",83.398598,0,0,0,0,0,0,0,0,0,0,0
"789070",1.040881,0,0,0,0,0,0,0,0,0,0,0
"800876",2.331992,0,0,0,0,0,0,0,0,0,0,0
"833797",2.758799,0,0,0,0,0,0,0,0,0,0,0
"854559",15.322553,0,0,0,0,0,0,0,0,0,0,0
"867242",13.684865,0,1.472564,0,0,0,0,0,0,0,0,0
"905923",1.299923,0,0,0,0,0,0,0,0,0,0,0
"908357",5.285058,0,0,0,0,0,0,0,0,0,0,0
"919968",1.723178,0,0,0,0,0,0,0,0,0,0,0
"928768",34.360352,0,0,0,0,0,0,0,0,0,0,0
"947669",5.398428,0,0,0,0,0,0,0,0,0,0,0
"949359",3.178827,0,0,0,0,0,0,0,0,0,0,0
"956547",26.667046,0,0,0,0,0,0,0,0,0,0,0
"959951",1.2362525,0,0,0,0,0,0,0,0,0,0,0
"994154",12.486474,0,0,0,0,0,0,0,0,0,0,0
"997739",2.005217,0,0,0,0,0,0,0,0,0,0,0
"1001626",4.816772,0,1.065211,0,0,0,0,0,0,0,0,0
"1041124",0.717373,0,0,0,0,0,0,0,0,0,0,0
"1048951",6.370473,0,1.196164,0,0,3.991282,0,0,0,0,0,0
"1051243",0.863006,0,1.666291,0,3.671472,3.855815,0,0,0,0,0,0
"1060100",0,0,0,0,1.198918,0,0,0,0,0,0,0
"1093914",18.547379,2.217857,0,0,0,0,0,0,0,0,0,0
"1302386",0.387696,0,0,0,0,0,0,0,0,0,0,0
"1321127",15.566525,1.829571,0,0,0,0,0,0,0,0,0,0
"1349167",49.943729,0,0,0,0,0,0,0,0,0,0,0
"1351040",2.358552,0,0,6.409928,2.729751,0,0,0,0,0,0,0
"1377234",84.980598,0,0,0,0,0,0,0,0,0,0,0
"1381582",2.610022,0,0,4.7097,0.884221,0,0,0,0,0,0,0
"1387225",9.734559,1.203098,0,0,0,0,0,0,0,0,0,0
"1444421",0.308355,0,0,0,0,0,0,0,0,0,0,0
"1469218",2.164658,0,0,0,0,0,0,0,0,0,0,0
"1480441",19.749235,0,0,0,0,0,0,0,0,0,0,0
"1484373",13.710174,2.112764,0,0,0,0,0,0,0,0,0,0
"1488375",4.44954,0,0,0,0,0,0,0,0,0,0,0
"1501195",2.770596,0,4.542311,0,0,5.310793,0,0,0,0,0,0
"1502183",0.431661,0,0,0,0,0,0,0,0,0,0,0
"1517962",29.791008,0,0,0,0,0,0,0,0,0,0,0
"1536417",4.0141,0,0,0,0,0,0,0,0,0,0,0
"1536833",13.034147,0,0,0,0,2.510745,0,0,0,0,0,0
"1540230",0.696814,0,0,0,0,0,0,0,0,0,0,0
"1549335",13.162966,1.941318,0,0,0,0,0,0,0,0,0,0
"1554570",4.337171,0,0,0,0,0,0,0,0,0,0,0
"1569306",2.181691,0,0,0,0,0,0,0,0,0,0,0
"1608228",64.725769,0,0,0,0,0,0,0,0,0,0,0
"1657566",0.833004,0,0,0,0,0,0,0,0,0,0,0
"1667834",0.632817,0,0,0,0,0,0,0,0,0,0,0
"1685826",1.214862,0,0,0,0,0,0,0,0,0,0,0
"1696814",1.815897,0,0,0,0,0,0,0,0,0,0,0
"1706277",1.057886,0,2.214226,0,0,0,0,0,0,0,0,0
"1708475",1.683401,0,0,0,0,0,0,0,0,0,0,0
"1719448",8.800672,0,5.35254,4.978042,0,0,0,0,0,0,0,0
"1775902",0.885251,0,0,0,0,0,0,0,0,0,0,0
"1798138",14.751589,0,0,0,0,0,0,0,0,0,0,0
"1801819",41.198906,0,0,0,0,0,0,0,0,0,0,0
"1808536",11.318796,0,0,0,0,0,0,0,0,0,0,0
"1817432",2.833133,0,0,0,0,0,0,0,0,0,0,0
"1817687",17.995998,0,0,0,0,0,0,0,0,0,0,0
"1829007",32.569725,0,0,0,0,0,0,0,0,0,0,0
"1834795",4.582565,0,0,0,0,0,0,0,0,0,0,0
"1840325",2.262289,0,0,0,0,0,0,0,0,0,0,0
"1845801",3.42475,0,0,0,0,0,0,0,0,0,0,0
"1850260",2.825898,0,4.449278,0,1.986402,7.863097,0,0,0,0,0,0
"1855125",1.920332,1.41407,0,0,0,0,0,1.023242,0,0,0,0
"1862149",35.598213,0,0,0,0,0,0,0,0,0,0,0
