"ensembl_gene_id","hgnc_symbol","description"
"ENSG00000258622","","endogenous retrovirus group FRD, member 1 (ERVFRD-1) pseudogene"
"ENSG00000274282","","endogenous retrovirus group FRD, member 1 (ERVFRD-1) pseudogene"
"ENSG00000244476","ERVFRD-1","endogenous retrovirus group FRD member 1, envelope [Source:HGNC Symbol;Acc:HGNC:33823]"
"ENSG00000260565","ERVK13-1","endogenous retrovirus group K13 member 1 [Source:HGNC Symbol;Acc:HGNC:27548]"
"ENSG00000213462","ERV3-1","endogenous retrovirus group 3 member 1, envelope [Source:HGNC Symbol;Acc:HGNC:3454]"
"ENSG00000269526","ERVV-1","endogenous retrovirus group V member 1, envelope [Source:HGNC Symbol;Acc:HGNC:26501]"
"ENSG00000251292","ERVH-1","endogenous retrovirus group H member 1 [Source:HGNC Symbol;Acc:HGNC:39053]"
"ENSG00000262566","","endogenous retrovirus group FRD, member 1 (ERVFRD-1) pseudogene"
"ENSG00000268964","ERVV-2","endogenous retrovirus group V member 2, envelope [Source:HGNC Symbol;Acc:HGNC:39051]"
"ENSG00000242950","ERVW-1","endogenous retrovirus group W member 1, envelope [Source:HGNC Symbol;Acc:HGNC:13525]"
"ENSG00000277499","","endogenous retrovirus group FRD, member 1 (ERVFRD-1) pseudogene"
"ENSG00000264801","ERVFRD-3","endogenous retrovirus group FRD member 3 [Source:HGNC Symbol;Acc:HGNC:49792]"
"ENSG00000142396","ERVK3-1","endogenous retrovirus group K3 member 1 [Source:HGNC Symbol;Acc:HGNC:30466]"
"ENSG00000276214","","endogenous retrovirus group V, member  pseudogene"
"ENSG00000267259","ERVE-1","endogenous retrovirus group E member 1 [Source:HGNC Symbol;Acc:HGNC:14602]"
"ENSG00000275959","","endogenous retrovirus group FRD, member 1 (ERVFRD-1) pseudogene"
"ENSG00000269486","ERVK9-11","endogenous retrovirus group K9, member 11 [Source:HGNC Symbol;Acc:HGNC:51160]"
"ENSG00000233056","ERVH48-1","endogenous retrovirus group 48 member 1 [Source:HGNC Symbol;Acc:HGNC:17216]"
"ENSG00000274398","","endogenous retrovirus group FRD, member 1 (ERVFRD-1) pseudogene"
"ENSG00000267696","ERVK-28","endogenous retrovirus group K member 28 [Source:HGNC Symbol;Acc:HGNC:44981]"
"ENSG00000226887","ERVMER34-1","endogenous retrovirus group MER34 member 1, envelope [Source:HGNC Symbol;Acc:HGNC:42970]"
"ENSG00000230426","ERVMER61-1","endogenous retrovirus group MER61 member 1 [Source:HGNC Symbol;Acc:HGNC:27919]"
"ENSG00000282930","ERVK9-11","endogenous retrovirus group K9, member 11 [Source:HGNC Symbol;Acc:HGNC:51160]"
