minimum FPKM,Sample Frequency,Level,Sensitivity,Precision
0,10%,Base,85.9,84
0,30%,Base,82.8,91.3
0,50%,Base,80.3,94.7
0,70%,Base,76.9,96.5
0,90%,Base,71.6,97.8
0.1,10%,Base,71.1,77.3
0.1,30%,Base,69.9,88.1
0.1,50%,Base,69.4,93
0.1,70%,Base,68.5,95.6
0.1,90%,Base,66.7,97.4
1,10%,Base,61.8,70
1,30%,Base,60.9,82
1,50%,Base,60.8,88.7
1,70%,Base,60.7,93
1,90%,Base,60.6,96.2
0,10%,Exon,77.4,97.4
0,30%,Exon,71.3,98.7
0,50%,Exon,66.7,99.1
0,70%,Exon,61.8,99.3
0,90%,Exon,54.5,99.5
0.1,10%,Exon,57.6,95.7
0.1,30%,Exon,56.4,98.1
0.1,50%,Exon,55.5,98.8
0.1,70%,Exon,54.5,99.2
0.1,90%,Exon,52,99.5
1,10%,Exon,44.8,92.5
1,30%,Exon,45.3,96.8
1,50%,Exon,45.8,98
1,70%,Exon,46.2,98.8
1,90%,Exon,46.5,99.3
0,10%,Intron,72,99
0,30%,Intron,66.3,99.3
0,50%,Intron,62.8,99.5
0,70%,Intron,59.4,99.6
0,90%,Intron,55.2,99.6
0.1,10%,Intron,63.8,99
0.1,30%,Intron,62.4,99.4
0.1,50%,Intron,61.6,99.5
0.1,70%,Intron,60.5,99.6
0.1,90%,Intron,58.5,99.6
1,10%,Intron,56.8,98.5
1,30%,Intron,57.1,99.2
1,50%,Intron,57.4,99.4
1,70%,Intron,57.7,99.5
1,90%,Intron,57.9,99.6
0,10%,Intron-chain,68.7,94.5
0,30%,Intron-chain,56.6,97.7
0,50%,Intron-chain,48,98.6
0,70%,Intron-chain,39.8,99
0,90%,Intron-chain,29.3,99.4
0.1,10%,Intron-chain,29.6,86.4
0.1,30%,Intron-chain,28.3,95.1
0.1,50%,Intron-chain,27.1,97.3
0.1,70%,Intron-chain,25.7,98.4
0.1,90%,Intron-chain,22.5,99.1
1,10%,Intron-chain,10.9,61.3
1,30%,Intron-chain,11.6,83.6
1,50%,Intron-chain,12,91.1
1,70%,Intron-chain,12.3,95
1,90%,Intron-chain,12.4,97.7
0,10%,Transcript,72,94.1
0,30%,Transcript,60.5,97.4
0,50%,Transcript,52.3,98.4
0,70%,Transcript,44.2,98.9
0,90%,Transcript,33.5,99.3
0.1,10%,Transcript,29.6,84.3
0.1,30%,Transcript,28.5,93.9
0.1,50%,Transcript,27.5,96.6
0.1,70%,Transcript,26.2,98
0.1,90%,Transcript,23.2,98.9
1,10%,Transcript,11,58.4
1,30%,Transcript,11.7,80.4
1,50%,Transcript,12.1,88.8
1,70%,Transcript,12.3,93.6
1,90%,Transcript,12.5,97.1
0,10%,Locus,95.9,96.4
0,30%,Locus,94.8,98
0,50%,Locus,94,98.6
0,70%,Locus,93,99.1
0,90%,Locus,91.1,99.5
0.1,10%,Locus,78.9,92.1
0.1,30%,Locus,79.5,96
0.1,50%,Locus,79.8,97.4
0.1,70%,Locus,80.2,98.5
0.1,90%,Locus,81.1,99.2
1,10%,Locus,66.3,79.8
1,30%,Locus,71.9,88.2
1,50%,Locus,74.5,92.4
1,70%,Locus,76.6,95.6
1,90%,Locus,78.3,98
