Meta-Assembler,Level,Precision,Sensitivity
Cuffcompare,Base,45.8,90.2
Cuffcompare,Exon,71,85.7
Cuffcompare,Intron,93.3,81.2
Cuffcompare,Intron-chain,46.5,84.5
Cuffcompare,Locus,51.8,96.9
Cuffcompare,Transcript,42.1,86.5
Gffcompare,Base,44.9,90.2
Gffcompare,Exon,66.1,85.7
Gffcompare,Intron,93.3,81.2
Gffcompare,Intron-chain,46.6,84.3
Gffcompare,Locus,52,96.9
Gffcompare,Transcript,36.9,86.5
StringTie-merge,Base,52.9,62.5
StringTie-merge,Exon,74.9,44.3
StringTie-merge,Intron,95,55.6
StringTie-merge,Intron-chain,40.4,12.6
StringTie-merge,Locus,34.7,57.8
StringTie-merge,Transcript,28.3,13.1
TACO,Base,54,74
TACO,Exon,74.5,49.5
TACO,Intron,97.6,57.3
TACO,Intron-chain,64.1,22.3
TACO,Locus,43.7,85.6
TACO,Transcript,39.7,28.4
