"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","enzyme binding","GO:0019899","7.162689857129544e-9","8.144923853288299","2261","27","18","19513","PPIB,ATF4,XRCC5,TIMP1,CDKN1A,YES1,PTEN,TGFBR2,CCND1,SMAD7,HDAC1,STAT3,DENND2D,MAP3K2,TP53,RB1,PPARA,PTK2B"
"GO:MF","protein-containing complex binding","GO:0044877","4.2828814376062354e-7","6.368263947949001","1257","27","13","19513","PPIB,XRCC5,CDKN1A,PTEN,TGFBR2,CCND1,SMAD7,HDAC1,TP53,CD44,PPARA,PFKP,PTK2B"
"GO:MF","kinase binding","GO:0019900","0.0000034965789428771638","5.456356662170228","754","27","10","19513","ATF4,CDKN1A,PTEN,TGFBR2,CCND1,STAT3,MAP3K2,TP53,RB1,PTK2B"
"GO:MF","protein kinase binding","GO:0019901","0.000013491976854438514","4.869924412516801","669","27","9","19513","ATF4,CDKN1A,PTEN,TGFBR2,CCND1,STAT3,MAP3K2,TP53,PTK2B"
"GO:MF","regulatory region nucleic acid binding","GO:0001067","0.00003692204360367489","4.432714269151086","1046","27","10","19513","ATF4,XRCC5,SMAD7,HDAC1,STAT3,TP53,RB1,FOXF2,PPARA,HOXD8"
"GO:MF","transcription regulatory region sequence-specific DNA binding","GO:0000976","0.00003692204360367489","4.432714269151086","1045","27","10","19513","ATF4,XRCC5,SMAD7,HDAC1,STAT3,TP53,RB1,FOXF2,PPARA,HOXD8"
"GO:MF","sequence-specific DNA binding","GO:0043565","0.000053863067859269875","4.2687089142663535","1407","27","11","19513","ATF4,XRCC5,SMAD7,HDAC1,STAT3,TP53,RB1,FOXF2,PPARA,HOXD8,FOXN1"
"GO:MF","DNA-binding transcription activator activity, RNA polymerase II-specific","GO:0001228","0.00007145359230276128","4.145975932330692","453","27","7","19513","ATF4,STAT3,TP53,FOXF2,PPARA,HOXD8,FOXN1"
"GO:MF","DNA-binding transcription activator activity","GO:0001216","0.00007145359230276128","4.145975932330692","456","27","7","19513","ATF4,STAT3,TP53,FOXF2,PPARA,HOXD8,FOXN1"
"GO:MF","sequence-specific double-stranded DNA binding","GO:1990837","0.00007145359230276128","4.145975932330692","1202","27","10","19513","ATF4,XRCC5,SMAD7,HDAC1,STAT3,TP53,RB1,FOXF2,PPARA,HOXD8"
"GO:MF","ubiquitin protein ligase binding","GO:0031625","0.00007145359230276128","4.145975932330692","290","27","6","19513","XRCC5,CDKN1A,SMAD7,TP53,RB1,PTK2B"
"GO:MF","phosphotransferase activity, alcohol group as acceptor","GO:0016773","0.00007523022554523133","4.123607636135052","695","27","8","19513","CDKN1A,YES1,TGFBR2,CCND1,MAP3K2,PFKP,PTK2B,DAPK2"
"GO:MF","transcription factor binding","GO:0008134","0.00007523022554523133","4.123607636135052","688","27","8","19513","ATF4,CCND1,HDAC1,STAT3,TP53,RB1,FOXF2,PPARA"
"GO:MF","ubiquitin-like protein ligase binding","GO:0044389","0.0000760776510323361","4.118742905106439","308","27","6","19513","XRCC5,CDKN1A,SMAD7,TP53,RB1,PTK2B"
"GO:MF","heterocyclic compound binding","GO:1901363","0.000089996774412002","4.045773055895922","5978","27","20","19513","PPIB,ATF4,XRCC5,YES1,TGFBR2,DICER1,SMAD7,HDAC1,STAT3,MAP3K2,TP53,RB1,FOXF2,PPARA,PFKP,PTK2B,HOXD8,DAPK2,FOXN1,ABCB5"
